#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'S1.dedup.bam'	'S2.dedup.bam'	'S3.dedup.bam'	'S4.dedup.bam'
ptg000089c	1	2	3.0	0.0	1.0	1.0
ptg000089c	101	102	42.0	59.0	63.0	72.0
ptg000089c	201	202	82.0	91.0	98.0	105.0
ptg000089c	301	302	94.0	106.0	94.0	114.0
ptg000089c	401	402	121.0	153.0	101.0	124.0
ptg000089c	501	502	98.0	163.0	101.0	140.0
ptg000089c	601	602	18.0	21.0	15.0	34.0
ptg000089c	701	702	5.0	9.0	3.0	12.0
ptg000089c	801	802	4.0	8.0	7.0	20.0
ptg000089c	901	902	74.0	135.0	72.0	165.0
ptg000089c	1001	1002	48.0	284.0	71.0	325.0
ptg000089c	1101	1102	163.0	343.0	171.0	337.0
ptg000089c	1201	1202	252.0	320.0	251.0	331.0
ptg000089c	1301	1302	223.0	279.0	219.0	266.0
ptg000089c	1401	1402	127.0	196.0	129.0	222.0
ptg000089c	1501	1502	21.0	141.0	35.0	168.0
ptg000089c	1601	1602	13.0	39.0	18.0	44.0
ptg000089c	1701	1702	3.0	4.0	1.0	5.0
ptg000089c	1801	1802	75.0	67.0	52.0	61.0
ptg000089c	1901	1902	131.0	76.0	111.0	57.0
ptg000089c	2001	2002	103.0	42.0	112.0	29.0
ptg000089c	2101	2102	129.0	96.0	154.0	97.0
ptg000089c	2201	2202	67.0	58.0	58.0	72.0
ptg000089c	2301	2302	14.0	44.0	9.0	84.0
ptg000089c	2401	2402	318.0	262.0	263.0	341.0
ptg000089c	2501	2502	261.0	284.0	241.0	299.0
ptg000089c	2601	2602	224.0	216.0	172.0	225.0
ptg000089c	2701	2702	217.0	234.0	194.0	245.0
ptg000089c	2801	2802	220.0	228.0	201.0	240.0
ptg000089c	2901	2902	209.0	240.0	187.0	251.0
ptg000089c	3001	3002	209.0	214.0	198.0	220.0
ptg000089c	3101	3102	213.0	205.0	197.0	230.0
ptg000089c	3201	3202	242.0	233.0	187.0	246.0
ptg000089c	3301	3302	230.0	225.0	188.0	240.0
ptg000089c	3401	3402	243.0	206.0	206.0	210.0
ptg000089c	3501	3502	202.0	189.0	186.0	229.0
ptg000089c	3601	3602	176.0	188.0	193.0	229.0
ptg000089c	3701	3702	218.0	215.0	212.0	222.0
ptg000089c	3801	3802	230.0	228.0	185.0	210.0
ptg000089c	3901	3902	178.0	199.0	181.0	172.0
ptg000089c	4001	4002	164.0	212.0	164.0	193.0
ptg000089c	4101	4102	131.0	161.0	136.0	207.0
ptg000089c	4201	4202	164.0	176.0	174.0	218.0
ptg000089c	4301	4302	196.0	182.0	166.0	200.0
ptg000089c	4401	4402	196.0	193.0	175.0	190.0
ptg000089c	4501	4502	165.0	196.0	160.0	153.0
ptg000089c	4601	4602	193.0	215.0	188.0	175.0
ptg000089c	4701	4702	183.0	218.0	164.0	195.0
ptg000089c	4801	4802	202.0	220.0	161.0	196.0
ptg000089c	4901	4902	185.0	199.0	173.0	197.0
ptg000089c	5001	5002	202.0	203.0	171.0	200.0
ptg000089c	5101	5102	173.0	198.0	175.0	196.0
ptg000089c	5201	5202	176.0	205.0	202.0	177.0
ptg000089c	5301	5302	178.0	212.0	183.0	197.0
ptg000089c	5401	5402	180.0	190.0	169.0	180.0
ptg000089c	5501	5502	195.0	174.0	182.0	196.0
ptg000089c	5601	5602	196.0	190.0	174.0	200.0
ptg000089c	5701	5702	187.0	188.0	188.0	191.0
ptg000089c	5801	5802	169.0	180.0	191.0	172.0
ptg000089c	5901	5902	143.0	155.0	158.0	188.0
ptg000089c	6001	6002	151.0	169.0	154.0	182.0
ptg000089c	6101	6102	158.0	158.0	170.0	199.0
ptg000089c	6201	6202	183.0	189.0	170.0	202.0
ptg000089c	6301	6302	183.0	169.0	172.0	198.0
ptg000089c	6401	6402	163.0	158.0	170.0	195.0
ptg000089c	6501	6502	191.0	187.0	172.0	219.0
ptg000089c	6601	6602	183.0	185.0	170.0	226.0
ptg000089c	6701	6702	158.0	167.0	170.0	198.0
ptg000089c	6801	6802	146.0	147.0	150.0	195.0
ptg000089c	6901	6902	118.0	170.0	110.0	175.0
ptg000089c	7001	7002	35.0	81.0	31.0	96.0
ptg000089c	7101	7102	23.0	22.0	14.0	26.0
ptg000089c	7201	7202	111.0	139.0	87.0	130.0
ptg000089c	7301	7302	151.0	185.0	122.0	189.0
ptg000089c	7401	7402	191.0	196.0	162.0	215.0
ptg000089c	7501	7502	206.0	211.0	211.0	201.0
ptg000089c	7601	7602	194.0	250.0	199.0	261.0
ptg000089c	7701	7702	215.0	268.0	238.0	270.0
ptg000089c	7801	7802	218.0	251.0	257.0	228.0
ptg000089c	7901	7902	240.0	207.0	224.0	223.0
ptg000089c	8001	8002	275.0	316.0	286.0	326.0
ptg000089c	8101	8102	213.0	280.0	206.0	339.0
ptg000089c	8201	8202	179.0	235.0	169.0	278.0
ptg000089c	8301	8302	175.0	217.0	184.0	268.0
ptg000089c	8401	8402	169.0	173.0	156.0	226.0
ptg000089c	8501	8502	184.0	192.0	154.0	212.0
ptg000089c	8601	8602	163.0	206.0	151.0	209.0
ptg000089c	8701	8702	174.0	218.0	187.0	227.0
ptg000089c	8801	8802	186.0	211.0	172.0	222.0
ptg000089c	8901	8902	208.0	226.0	171.0	229.0
ptg000089c	9001	9002	180.0	236.0	211.0	215.0
ptg000089c	9101	9102	203.0	222.0	174.0	240.0
ptg000089c	9201	9202	193.0	224.0	191.0	231.0
ptg000089c	9301	9302	194.0	245.0	194.0	250.0
ptg000089c	9401	9402	173.0	235.0	221.0	257.0
ptg000089c	9501	9502	160.0	242.0	223.0	226.0
ptg000089c	9601	9602	195.0	254.0	210.0	236.0
ptg000089c	9701	9702	202.0	233.0	210.0	240.0
ptg000089c	9801	9802	193.0	233.0	224.0	231.0
ptg000089c	9901	9902	223.0	253.0	206.0	244.0
ptg000089c	10001	10002	198.0	211.0	193.0	219.0
ptg000089c	10101	10102	206.0	184.0	218.0	219.0
ptg000089c	10201	10202	154.0	208.0	182.0	245.0
ptg000089c	10301	10302	164.0	183.0	168.0	162.0
ptg000089c	10401	10402	111.0	113.0	110.0	129.0
ptg000089c	10501	10502	42.0	24.0	31.0	27.0
