#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'S1.dedup.bam'	'S2.dedup.bam'	'S3.dedup.bam'	'S4.dedup.bam'
ptg000112l	1	2	0.0	0.0	0.0	0.0
ptg000112l	101	102	0.0	0.0	0.0	0.0
ptg000112l	201	202	0.0	0.0	1.0	0.0
ptg000112l	301	302	1.0	1.0	2.0	3.0
ptg000112l	401	402	7.0	3.0	2.0	3.0
ptg000112l	501	502	0.0	1.0	1.0	0.0
ptg000112l	601	602	1.0	0.0	1.0	1.0
ptg000112l	701	702	4.0	2.0	2.0	1.0
ptg000112l	801	802	3.0	3.0	3.0	0.0
ptg000112l	901	902	2.0	1.0	2.0	0.0
ptg000112l	1001	1002	1.0	1.0	1.0	1.0
ptg000112l	1101	1102	5.0	2.0	11.0	0.0
ptg000112l	1201	1202	10.0	3.0	10.0	0.0
ptg000112l	1301	1302	0.0	1.0	1.0	0.0
ptg000112l	1401	1402	1.0	1.0	2.0	0.0
ptg000112l	1501	1502	2.0	0.0	1.0	0.0
ptg000112l	1601	1602	2.0	0.0	2.0	0.0
ptg000112l	1701	1702	2.0	2.0	8.0	0.0
ptg000112l	1801	1802	1.0	1.0	7.0	0.0
ptg000112l	1901	1902	2.0	1.0	2.0	0.0
ptg000112l	2001	2002	1.0	1.0	3.0	0.0
ptg000112l	2101	2102	0.0	0.0	0.0	0.0
ptg000112l	2201	2202	0.0	0.0	0.0	0.0
ptg000112l	2301	2302	6.0	6.0	1.0	5.0
ptg000112l	2401	2402	18.0	19.0	12.0	22.0
ptg000112l	2501	2502	24.0	16.0	20.0	24.0
ptg000112l	2601	2602	5.0	1.0	9.0	2.0
ptg000112l	2701	2702	8.0	1.0	10.0	1.0
ptg000112l	2801	2802	2.0	0.0	3.0	0.0
ptg000112l	2901	2902	0.0	0.0	4.0	1.0
ptg000112l	3001	3002	4.0	0.0	11.0	1.0
ptg000112l	3101	3102	3.0	1.0	12.0	0.0
ptg000112l	3201	3202	2.0	2.0	8.0	0.0
ptg000112l	3301	3302	20.0	6.0	17.0	1.0
ptg000112l	3401	3402	11.0	5.0	17.0	2.0
ptg000112l	3501	3502	2.0	2.0	4.0	1.0
ptg000112l	3601	3602	3.0	0.0	1.0	0.0
ptg000112l	3701	3702	0.0	0.0	0.0	0.0
ptg000112l	3801	3802	0.0	0.0	0.0	0.0
ptg000112l	3901	3902	0.0	0.0	0.0	0.0
