#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'S1.dedup.bam'	'S2.dedup.bam'	'S3.dedup.bam'	'S4.dedup.bam'
ptg000103l	1	2	0.0	0.0	0.0	0.0
ptg000103l	101	102	4.0	0.0	5.0	1.0
ptg000103l	201	202	10.0	2.0	4.0	3.0
ptg000103l	301	302	7.0	3.0	6.0	4.0
ptg000103l	401	402	2.0	0.0	6.0	3.0
ptg000103l	501	502	8.0	7.0	9.0	6.0
ptg000103l	601	602	10.0	10.0	13.0	7.0
ptg000103l	701	702	27.0	22.0	34.0	12.0
ptg000103l	801	802	8.0	7.0	14.0	4.0
ptg000103l	901	902	2.0	2.0	0.0	3.0
ptg000103l	1001	1002	6.0	6.0	3.0	5.0
ptg000103l	1101	1102	9.0	6.0	5.0	4.0
ptg000103l	1201	1202	5.0	6.0	4.0	1.0
ptg000103l	1301	1302	3.0	3.0	1.0	4.0
ptg000103l	1401	1402	2.0	5.0	1.0	6.0
ptg000103l	1501	1502	6.0	1.0	2.0	3.0
ptg000103l	1601	1602	7.0	5.0	2.0	3.0
ptg000103l	1701	1702	2.0	3.0	2.0	3.0
ptg000103l	1801	1802	6.0	7.0	5.0	2.0
ptg000103l	1901	1902	11.0	13.0	13.0	9.0
ptg000103l	2001	2002	20.0	14.0	24.0	16.0
ptg000103l	2101	2102	21.0	14.0	21.0	11.0
ptg000103l	2201	2202	5.0	5.0	8.0	2.0
ptg000103l	2301	2302	5.0	1.0	0.0	3.0
ptg000103l	2401	2402	5.0	1.0	4.0	6.0
ptg000103l	2501	2502	8.0	1.0	7.0	4.0
ptg000103l	2601	2602	7.0	2.0	7.0	2.0
ptg000103l	2701	2702	10.0	4.0	10.0	8.0
ptg000103l	2801	2802	5.0	3.0	11.0	5.0
ptg000103l	2901	2902	6.0	7.0	7.0	14.0
ptg000103l	3001	3002	27.0	17.0	20.0	20.0
ptg000103l	3101	3102	44.0	32.0	41.0	34.0
ptg000103l	3201	3202	44.0	21.0	39.0	29.0
ptg000103l	3301	3302	13.0	8.0	12.0	10.0
ptg000103l	3401	3402	13.0	10.0	12.0	12.0
ptg000103l	3501	3502	7.0	5.0	0.0	6.0
ptg000103l	3601	3602	13.0	5.0	3.0	17.0
ptg000103l	3701	3702	3.0	1.0	1.0	2.0
ptg000103l	3801	3802	3.0	3.0	1.0	0.0
ptg000103l	3901	3902	12.0	10.0	4.0	7.0
ptg000103l	4001	4002	5.0	7.0	5.0	8.0
ptg000103l	4101	4102	9.0	5.0	5.0	14.0
ptg000103l	4201	4202	2.0	1.0	0.0	4.0
ptg000103l	4301	4302	3.0	3.0	6.0	4.0
ptg000103l	4401	4402	4.0	18.0	12.0	2.0
ptg000103l	4501	4502	18.0	17.0	19.0	19.0
ptg000103l	4601	4602	2.0	1.0	1.0	2.0
ptg000103l	4701	4702	12.0	10.0	8.0	12.0
ptg000103l	4801	4802	30.0	23.0	17.0	31.0
ptg000103l	4901	4902	21.0	18.0	12.0	16.0
ptg000103l	5001	5002	4.0	10.0	8.0	7.0
ptg000103l	5101	5102	7.0	7.0	3.0	2.0
ptg000103l	5201	5202	2.0	0.0	1.0	0.0
ptg000103l	5301	5302	7.0	9.0	13.0	7.0
ptg000103l	5401	5402	38.0	34.0	36.0	20.0
ptg000103l	5501	5502	9.0	4.0	1.0	6.0
ptg000103l	5601	5602	19.0	12.0	18.0	16.0
ptg000103l	5701	5702	36.0	25.0	36.0	21.0
ptg000103l	5801	5802	29.0	21.0	27.0	17.0
ptg000103l	5901	5902	26.0	26.0	36.0	20.0
ptg000103l	6001	6002	7.0	7.0	6.0	7.0
ptg000103l	6101	6102	66.0	18.0	49.0	11.0
ptg000103l	6201	6202	0.0	0.0	0.0	1.0
ptg000103l	6301	6302	43.0	47.0	58.0	39.0
ptg000103l	6401	6402	54.0	64.0	66.0	42.0
ptg000103l	6501	6502	8.0	12.0	11.0	10.0
ptg000103l	6601	6602	44.0	53.0	53.0	43.0
ptg000103l	6701	6702	32.0	34.0	41.0	21.0
ptg000103l	6801	6802	12.0	9.0	11.0	6.0
ptg000103l	6901	6902	1.0	3.0	0.0	2.0
ptg000103l	7001	7002	3.0	2.0	3.0	1.0
ptg000103l	7101	7102	7.0	8.0	8.0	5.0
ptg000103l	7201	7202	23.0	13.0	15.0	11.0
ptg000103l	7301	7302	21.0	13.0	17.0	11.0
ptg000103l	7401	7402	19.0	6.0	10.0	7.0
ptg000103l	7501	7502	20.0	13.0	16.0	11.0
ptg000103l	7601	7602	34.0	45.0	20.0	15.0
ptg000103l	7701	7702	20.0	38.0	20.0	19.0
