#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'S1.dedup.bam'	'S2.dedup.bam'	'S3.dedup.bam'	'S4.dedup.bam'
ptg000075l	1	2	1.0	0.0	1.0	1.0
ptg000075l	101	102	20.0	29.0	21.0	31.0
ptg000075l	201	202	21.0	24.0	27.0	34.0
ptg000075l	301	302	25.0	38.0	23.0	34.0
ptg000075l	401	402	58.0	56.0	50.0	64.0
ptg000075l	501	502	50.0	56.0	50.0	56.0
ptg000075l	601	602	48.0	58.0	55.0	61.0
ptg000075l	701	702	69.0	80.0	73.0	73.0
ptg000075l	801	802	57.0	66.0	65.0	60.0
ptg000075l	901	902	44.0	57.0	51.0	54.0
ptg000075l	1001	1002	55.0	65.0	67.0	68.0
ptg000075l	1101	1102	21.0	17.0	17.0	23.0
ptg000075l	1201	1202	15.0	13.0	18.0	16.0
ptg000075l	1301	1302	8.0	14.0	12.0	10.0
ptg000075l	1401	1402	6.0	17.0	22.0	9.0
ptg000075l	1501	1502	8.0	16.0	15.0	5.0
ptg000075l	1601	1602	9.0	14.0	12.0	20.0
ptg000075l	1701	1702	0.0	3.0	1.0	3.0
ptg000075l	1801	1802	3.0	6.0	9.0	6.0
ptg000075l	1901	1902	8.0	8.0	22.0	25.0
ptg000075l	2001	2002	2.0	3.0	5.0	9.0
ptg000075l	2101	2102	3.0	1.0	6.0	6.0
ptg000075l	2201	2202	5.0	5.0	9.0	13.0
ptg000075l	2301	2302	0.0	0.0	0.0	2.0
ptg000075l	2401	2402	5.0	8.0	2.0	8.0
ptg000075l	2501	2502	1.0	1.0	1.0	1.0
ptg000075l	2601	2602	3.0	3.0	3.0	2.0
ptg000075l	2701	2702	8.0	9.0	5.0	17.0
ptg000075l	2801	2802	27.0	34.0	20.0	48.0
ptg000075l	2901	2902	42.0	53.0	40.0	68.0
ptg000075l	3001	3002	58.0	53.0	43.0	72.0
ptg000075l	3101	3102	51.0	61.0	43.0	75.0
ptg000075l	3201	3202	50.0	76.0	66.0	96.0
ptg000075l	3301	3302	63.0	82.0	69.0	98.0
ptg000075l	3401	3402	67.0	74.0	53.0	93.0
ptg000075l	3501	3502	73.0	76.0	67.0	110.0
ptg000075l	3601	3602	54.0	72.0	58.0	90.0
ptg000075l	3701	3702	47.0	62.0	44.0	74.0
ptg000075l	3801	3802	44.0	61.0	49.0	79.0
ptg000075l	3901	3902	30.0	42.0	35.0	65.0
ptg000075l	4001	4002	6.0	7.0	4.0	5.0
ptg000075l	4101	4102	8.0	9.0	8.0	15.0
ptg000075l	4201	4202	35.0	49.0	31.0	48.0
ptg000075l	4301	4302	42.0	57.0	47.0	72.0
ptg000075l	4401	4402	46.0	57.0	48.0	79.0
ptg000075l	4501	4502	40.0	43.0	32.0	52.0
ptg000075l	4601	4602	15.0	13.0	4.0	16.0
ptg000075l	4701	4702	47.0	50.0	46.0	78.0
ptg000075l	4801	4802	49.0	55.0	63.0	77.0
ptg000075l	4901	4902	25.0	25.0	31.0	29.0
ptg000075l	5001	5002	18.0	20.0	33.0	17.0
ptg000075l	5101	5102	69.0	52.0	86.0	85.0
ptg000075l	5201	5202	63.0	52.0	73.0	99.0
ptg000075l	5301	5302	71.0	66.0	79.0	86.0
ptg000075l	5401	5402	84.0	73.0	76.0	93.0
ptg000075l	5501	5502	73.0	83.0	58.0	107.0
ptg000075l	5601	5602	72.0	75.0	72.0	97.0
ptg000075l	5701	5702	60.0	81.0	78.0	89.0
ptg000075l	5801	5802	67.0	68.0	75.0	104.0
ptg000075l	5901	5902	65.0	83.0	78.0	91.0
ptg000075l	6001	6002	85.0	98.0	80.0	124.0
ptg000075l	6101	6102	90.0	92.0	81.0	128.0
ptg000075l	6201	6202	87.0	73.0	82.0	114.0
ptg000075l	6301	6302	62.0	59.0	71.0	77.0
ptg000075l	6401	6402	69.0	71.0	65.0	71.0
ptg000075l	6501	6502	81.0	65.0	57.0	69.0
ptg000075l	6601	6602	64.0	69.0	68.0	61.0
ptg000075l	6701	6702	54.0	68.0	77.0	62.0
ptg000075l	6801	6802	53.0	59.0	66.0	70.0
ptg000075l	6901	6902	42.0	41.0	53.0	77.0
ptg000075l	7001	7002	38.0	38.0	42.0	45.0
ptg000075l	7101	7102	41.0	46.0	53.0	40.0
ptg000075l	7201	7202	11.0	15.0	21.0	13.0
ptg000075l	7301	7302	15.0	12.0	16.0	18.0
ptg000075l	7401	7402	8.0	7.0	11.0	13.0
ptg000075l	7501	7502	4.0	4.0	3.0	5.0
ptg000075l	7601	7602	19.0	28.0	28.0	39.0
ptg000075l	7701	7702	36.0	45.0	40.0	60.0
ptg000075l	7801	7802	27.0	27.0	26.0	36.0
ptg000075l	7901	7902	32.0	51.0	55.0	72.0
ptg000075l	8001	8002	46.0	69.0	76.0	75.0
ptg000075l	8101	8102	33.0	38.0	39.0	63.0
ptg000075l	8201	8202	23.0	19.0	27.0	30.0
ptg000075l	8301	8302	16.0	16.0	18.0	21.0
ptg000075l	8401	8402	38.0	37.0	41.0	44.0
ptg000075l	8501	8502	19.0	13.0	16.0	19.0
ptg000075l	8601	8602	10.0	12.0	9.0	8.0
ptg000075l	8701	8702	30.0	42.0	38.0	36.0
ptg000075l	8801	8802	36.0	30.0	32.0	42.0
ptg000075l	8901	8902	17.0	19.0	27.0	27.0
ptg000075l	9001	9002	4.0	9.0	12.0	13.0
ptg000075l	9101	9102	38.0	43.0	38.0	48.0
ptg000075l	9201	9202	55.0	48.0	47.0	51.0
ptg000075l	9301	9302	34.0	26.0	32.0	36.0
ptg000075l	9401	9402	32.0	40.0	26.0	40.0
ptg000075l	9501	9502	53.0	57.0	47.0	74.0
ptg000075l	9601	9602	28.0	38.0	32.0	54.0
ptg000075l	9701	9702	12.0	12.0	14.0	23.0
ptg000075l	9801	9802	3.0	1.0	2.0	8.0
ptg000075l	9901	9902	0.0	0.0	0.0	0.0
ptg000075l	10001	10002	5.0	3.0	6.0	9.0
ptg000075l	10101	10102	11.0	11.0	16.0	21.0
ptg000075l	10201	10202	4.0	4.0	5.0	11.0
